system:index,classe,.geo
82,1,"{""type"":""Point"",""coordinates"":[-53.806952720191255,-29.647317408389622]}"
83,1,"{""type"":""Point"",""coordinates"":[-53.80951691200949,-29.647331394821965]}"
84,1,"{""type"":""Point"",""coordinates"":[-53.806646948363564,-29.647065652275213]}"
85,1,"{""type"":""Point"",""coordinates"":[-53.768896439485,-29.731531731442153]}"
86,1,"{""type"":""Point"",""coordinates"":[-53.7322467355055,-29.72191666514289]}"
87,1,"{""type"":""Point"",""coordinates"":[-53.73224673550549,-29.723966465847795]}"
88,1,"{""type"":""Point"",""coordinates"":[-53.73439250271741,-29.722978839825576]}"
89,1,"{""type"":""Point"",""coordinates"":[-53.728704596495504,-29.72201904623893]}"
90,1,"{""type"":""Point"",""coordinates"":[-53.72288181518444,-29.719524673226353]}"
91,1,"{""type"":""Point"",""coordinates"":[-53.72375085090527,-29.71896095725808]}"
92,1,"{""type"":""Point"",""coordinates"":[-53.72296764587292,-29.718746651183373]}"
93,1,"{""type"":""Point"",""coordinates"":[-53.72232391570934,-29.718886416066603]}"
94,1,"{""type"":""Point"",""coordinates"":[-53.721202779571954,-29.71949649954241]}"
95,1,"{""type"":""Point"",""coordinates"":[-53.7192157004109,-29.71878341822426]}"
96,1,"{""type"":""Point"",""coordinates"":[-53.717081378330604,-29.71754562936373]}"
97,1,"{""type"":""Point"",""coordinates"":[-53.71582610451163,-29.71707508052953]}"
98,1,"{""type"":""Point"",""coordinates"":[-53.72175321192979,-29.716765478830972]}"
99,1,"{""type"":""Point"",""coordinates"":[-53.72393653006791,-29.71599209436192]}"
